1274;Pheucticus;melanocephalus;Black-headed Grosbeak;;Don Jones;United States;Cave Creek Road, Chiricahua Mts., Arizona;31.8692;-109.1884;song;bird203.mp3;http://www.xeno-canto.org/sounds/uploaded/BCWZQTGMSO/bird203.mp3;http://www.xeno-canto.org/sounds/uploaded/BCWZQTGMSO/ffts/tb/bird203.png
5643;Pheucticus;melanocephalus;Black-headed Grosbeak;;Manuel Grosselet;Mexico;Huitzo dam;;;Song;Black headed Grosbeak.mp3;http://www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/Black headed Grosbeak.mp3;http://www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/tb/Black headed Grosbeak.png
11581;Pheucticus;melanocephalus;Black-headed Grosbeak;;Todd Mark;Mexico;Cuarenta Casas, Sierra Madre Occidental, Chihuahua;29.5501;-108.1667;song;TMIItapeIVBlaHeaGros.mp3;http://www.xeno-canto.org/sounds/uploaded/CLKPHLYUHA/TMIItapeIVBlaHeaGros.mp3;http://www.xeno-canto.org/sounds/uploaded/CLKPHLYUHA/ffts/tb/TMIItapeIVBlaHeaGros.png
21761;Pheucticus;melanocephalus;Black-headed Grosbeak;;Chris Parrish;United States;Bonita Canyon, Chiricahua NM, Arizona;32.0137;-109.3542;Songs;cp0821c_xc_Pheucticus_melanocephalus_10jul2008_BonitaCanyon.mp3;http://www.xeno-canto.org/sounds/uploaded/IHIOGGZVQA/cp0821c_xc_Pheucticus_melanocephalus_10jul2008_BonitaCanyon.mp3;http://www.xeno-canto.org/sounds/uploaded/IHIOGGZVQA/ffts/tb/cp0821c_xc_Pheucticus_melanocephalus_10jul2008_BonitaCanyon.png
14398;Pheucticus;melanocephalus;Black-headed Grosbeak;;Andrew Spencer;United States;Montezuma County, Colorado;37.34805;-108.56398;female call;BHGR2007-7-13calls1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/BHGR2007-7-13calls1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/BHGR2007-7-13calls1.png
14958;Pheucticus;melanocephalus;Black-headed Grosbeak;;Andrew Spencer;United States;Tamarack Ranch SWA, Logan Co., Colorado;40.8367;-102.8159;song;BHGR2007-5-24-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/BHGR2007-5-24-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/BHGR2007-5-24-1.png
21762;Pheucticus;melanocephalus;Black-headed Grosbeak;;Chris Parrish;United States;Bonita Canyon, Chiricahua NM, Arizona;32.0137;-109.3542;Songs;cp0816a_xc_Pheucticus_melanocephalus_09jul2008_BonitaCanyon.mp3;http://www.xeno-canto.org/sounds/uploaded/IHIOGGZVQA/cp0816a_xc_Pheucticus_melanocephalus_09jul2008_BonitaCanyon.mp3;http://www.xeno-canto.org/sounds/uploaded/IHIOGGZVQA/ffts/tb/cp0816a_xc_Pheucticus_melanocephalus_09jul2008_BonitaCanyon.png
22073;Pheucticus;melanocephalus;Black-headed Grosbeak;;Chris Parrish;United States;Cave Creek, Chiricahua Mountains, Cochise County, Arizona;31.8848;-109.1756;songs;cp0845b_xc_Pheucticus_melanocephalus_11jul2008_CaveCreek.mp3;http://www.xeno-canto.org/sounds/uploaded/IHIOGGZVQA/cp0845b_xc_Pheucticus_melanocephalus_11jul2008_CaveCreek.mp3;http://www.xeno-canto.org/sounds/uploaded/IHIOGGZVQA/ffts/tb/cp0845b_xc_Pheucticus_melanocephalus_11jul2008_CaveCreek.png
31514;Pheucticus;melanocephalus;Black-headed Grosbeak;;Daniel Lane;Mexico;La Cumbre, Cerro San Felipe, Oaxaca;17.1739;-96.6045;song;Pheucticus.melanocephalus0002-1.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/Pheucticus.melanocephalus0002-1.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/tb/Pheucticus.melanocephalus0002-1.png
31670;Pheucticus;melanocephalus;Black-headed Grosbeak;melanocephalus;Nick Athanas;Mexico;3.5 km southwest of San Miguel Suchixtepec, Oaxaca;16.0742;-96.4851;song;R09_2172-Black-headed-Grosbeak.mp3;http://www.xeno-canto.org/sounds/uploaded/XRABICUARW/R09_2172-Black-headed-Grosbeak.mp3;http://www.xeno-canto.org/sounds/uploaded/XRABICUARW/ffts/tb/R09_2172-Black-headed-Grosbeak.png
