999;Pheugopedius;fasciatoventris;Black-bellied Wren;;Robin Carter;Panama;Canopy Tower;9.1334;-79.6501;song;BlackbelliedWren2001052305.mp3;http://www.xeno-canto.org/sounds/uploaded/LNBKSKKLXO/BlackbelliedWren2001052305.mp3;http://www.xeno-canto.org/sounds/uploaded/LNBKSKKLXO/ffts/tb/BlackbelliedWren2001052305.png
2958;Pheugopedius;fasciatoventris;Black-bellied Wren;;David Bradley;Panama;Pipeline Road, Colon;9.1667;-79.7667;song;057.mp3;http://www.xeno-canto.org/sounds/uploaded/MCNTDLDTOO/057.mp3;http://www.xeno-canto.org/sounds/uploaded/MCNTDLDTOO/ffts/tb/057.png
7807;Pheugopedius;fasciatoventris;Black-bellied Wren;;Todd Mark;Colombia;near Honda, central Magdalena valley, Tolima;-6.6909;-76.0256;song;ThrFasV.mp3;http://www.xeno-canto.org/sounds/uploaded/CLKPHLYUHA/ThrFasV.mp3;http://www.xeno-canto.org/sounds/uploaded/CLKPHLYUHA/ffts/tb/ThrFasV.png
9725;Pheugopedius;fasciatoventris;Black-bellied Wren;;Allen T. Chartier;Costa Rica;Carara NP, Puntarenas Prov.;9.7751;-84.6167;Song;Thryothorus_fasciatoventris_CR-CR_19960304_S1_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/Thryothorus_fasciatoventris_CR-CR_19960304_S1_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/ffts/tb/Thryothorus_fasciatoventris_CR-CR_19960304_S1_ATC.png
9726;Pheugopedius;fasciatoventris;Black-bellied Wren;;Allen T. Chartier;Costa Rica;Carara NP, Puntarenas Prov.;9.7751;-84.6167;Song;Thryothorus_fasciatoventris_CR-CR_19960304_S2_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/Thryothorus_fasciatoventris_CR-CR_19960304_S2_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/ffts/tb/Thryothorus_fasciatoventris_CR-CR_19960304_S2_ATC.png
9727;Pheugopedius;fasciatoventris;Black-bellied Wren;;Allen T. Chartier;Costa Rica;Carara NP, Puntarenas Prov.;9.7751;-84.6167;Song;Thryothorus_fasciatoventris_CR-CR_19960304_S3_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/Thryothorus_fasciatoventris_CR-CR_19960304_S3_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/ffts/tb/Thryothorus_fasciatoventris_CR-CR_19960304_S3_ATC.png
10569;Pheugopedius;fasciatoventris;Black-bellied Wren;;Allen T. Chartier;Panama;Canopy Tower;9.1334;-79.6501;Short song;Thryothorus_fasciatoventris_PA-CTL_20001224_S1_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/Thryothorus_fasciatoventris_PA-CTL_20001224_S1_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/ffts/tb/Thryothorus_fasciatoventris_PA-CTL_20001224_S1_ATC.png
10570;Pheugopedius;fasciatoventris;Black-bellied Wren;;Allen T. Chartier;Panama;Canopy Tower;9.1334;-79.6501;Short song;Thryothorus_fasciatoventris_PA-CTL_20001226_S1_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/Thryothorus_fasciatoventris_PA-CTL_20001226_S1_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/ffts/tb/Thryothorus_fasciatoventris_PA-CTL_20001226_S1_ATC.png
10642;Pheugopedius;fasciatoventris;Black-bellied Wren;;Hernan Arias;Colombia;RNA El Paujil, Serrania de las Quinchas,Santander, Colombia;5.9334;-74.1834;song;25_Thryothorus_ fascitoventris1_HDA.mp3;http://www.xeno-canto.org/sounds/uploaded/FGHNKBQURB/25_Thryothorus_ fascitoventris1_HDA.mp3;http://www.xeno-canto.org/sounds/uploaded/FGHNKBQURB/ffts/tb/25_Thryothorus_ fascitoventris1_HDA.png
11515;Pheugopedius;fasciatoventris;Black-bellied Wren;albigularis;Nick Athanas;Panama;Parque Metropolitano, Panama;9.0245;-79.5528;song;012-107-Black-bellied-Wren.mp3;http://www.xeno-canto.org/sounds/uploaded/XRABICUARW/012-107-Black-bellied-Wren.mp3;http://www.xeno-canto.org/sounds/uploaded/XRABICUARW/ffts/tb/012-107-Black-bellied-Wren.png
14018;Pheugopedius;fasciatoventris;Black-bellied Wren;;Bradley Davis;Colombia;RNA El Paujil, Serrania de las Quinchas,Santander, Colombia;5.9334;-74.1834;song;BD_2007-06-12_Thryothorus_fasciatoventrisXC.mp3;http://www.xeno-canto.org/sounds/uploaded/YNXJLOESBB/BD_2007-06-12_Thryothorus_fasciatoventrisXC.mp3;http://www.xeno-canto.org/sounds/uploaded/YNXJLOESBB/ffts/tb/BD_2007-06-12_Thryothorus_fasciatoventrisXC.png
15652;Pheugopedius;fasciatoventris;Black-bellied Wren;;Don Jones;Panama;Semaphore Hill Road;9.09252;-79.65251;song;blackbelliedwren2.mp3;http://www.xeno-canto.org/sounds/uploaded/BCWZQTGMSO/blackbelliedwren2.mp3;http://www.xeno-canto.org/sounds/uploaded/BCWZQTGMSO/ffts/tb/blackbelliedwren2.png
15653;Pheugopedius;fasciatoventris;Black-bellied Wren;;Don Jones;Panama;Semaphore Hill Road;9.09252;-79.65251;song;blackbelliedwren3.mp3;http://www.xeno-canto.org/sounds/uploaded/BCWZQTGMSO/blackbelliedwren3.mp3;http://www.xeno-canto.org/sounds/uploaded/BCWZQTGMSO/ffts/tb/blackbelliedwren3.png
16030;Pheugopedius;fasciatoventris;Black-bellied Wren;;Ken Allaire;Panama;Old Gamboa Road, Panama Province;9.0617;-79.6498;song;BBWrenOGR053001.mp3;http://www.xeno-canto.org/sounds/uploaded/AEWPPXBBYE/BBWrenOGR053001.mp3;http://www.xeno-canto.org/sounds/uploaded/AEWPPXBBYE/ffts/tb/BBWrenOGR053001.png
18162;Pheugopedius;fasciatoventris;Black-bellied Wren;;Herman van Oosten;Colombia;El canon del Rio Claro, Antioquia;5.8334;-74.8667;;Thryothorusfasciatoventris_0810_05208.mp3;http://www.xeno-canto.org/sounds/uploaded/SNUDCZVUQK/Thryothorusfasciatoventris_0810_05208.mp3;http://www.xeno-canto.org/sounds/uploaded/SNUDCZVUQK/ffts/tb/Thryothorusfasciatoventris_0810_05208.png
24180;Pheugopedius;fasciatoventris;Black-bellied Wren;;Ken Allaire;Panama;Pipeline Road, Colon;9.1667;-79.7667;song;bbwrenpipeline063008.mp3;http://www.xeno-canto.org/sounds/uploaded/AEWPPXBBYE/bbwrenpipeline063008.mp3;http://www.xeno-canto.org/sounds/uploaded/AEWPPXBBYE/ffts/tb/bbwrenpipeline063008.png
24181;Pheugopedius;fasciatoventris;Black-bellied Wren;;Ken Allaire;Panama;Pipeline Road, Colon;9.1667;-79.7667;song and call;bbwrenpipeline071908.mp3;http://www.xeno-canto.org/sounds/uploaded/AEWPPXBBYE/bbwrenpipeline071908.mp3;http://www.xeno-canto.org/sounds/uploaded/AEWPPXBBYE/ffts/tb/bbwrenpipeline071908.png
31777;Pheugopedius;fasciatoventris;Black-bellied Wren;;Andrew Spencer;Panama;Rio Guanabano, Chiriqui Province;;;song;Black-bellied Wren2009-3-22-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Black-bellied Wren2009-3-22-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Black-bellied Wren2009-3-22-1.png
37063;Pheugopedius;fasciatoventris;Black-bellied Wren;;Oswaldo Cortes;Colombia;Rio Claro, Doradal, Antioquia;5.900189;-74.84848;calls;Thryothorus fasciatoventris120058.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/Thryothorus fasciatoventris120058.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/ffts/tb/Thryothorus fasciatoventris120058.png
37074;Pheugopedius;fasciatoventris;Black-bellied Wren;;Oswaldo Cortes;Colombia;Rio Claro, Doradal, Antioquia;5.900189;-74.84848;Songs;fasciatoventris458877.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/fasciatoventris458877.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/ffts/tb/fasciatoventris458877.png
51270;Pheugopedius;fasciatoventris;Black-bellied Wren;;David Geale;Colombia;El canon del Rio Claro, Antioquia;5.8334;-74.8667;Song;thrfas01a.mp3;http://www.xeno-canto.org/sounds/uploaded/SBFBVYGIJC/thrfas01a.mp3;http://www.xeno-canto.org/sounds/uploaded/SBFBVYGIJC/ffts/tb/thrfas01a.png
54235;Pheugopedius;fasciatoventris;Black-bellied Wren;fasciatoventris;Bernabe Lopez-Lanus;Colombia;Finca La Magnolia, Corregimiento Totumo, Ibague, Tolima;;;Song;Thryothorus fasciatoventris_Finca La Magnolia_Totumo_Ibague_Tolima_8AGO1999 b_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Thryothorus fasciatoventris_Finca La Magnolia_Totumo_Ibague_Tolima_8AGO1999 b_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Thryothorus fasciatoventris_Finca La Magnolia_Totumo_Ibague_Tolima_8AGO1999 b_Bernabe Lopez-Lanus.png
54236;Pheugopedius;fasciatoventris;Black-bellied Wren;fasciatoventris;Bernabe Lopez-Lanus;Colombia;Finca La Magnolia, Corregimiento Totumo, Ibague, Tolima;;;Song;Thryothorus fasciatoventris_Finca La Magnolia_Totumo_Ibague_Tolima_7AGO1999 c_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Thryothorus fasciatoventris_Finca La Magnolia_Totumo_Ibague_Tolima_7AGO1999 c_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Thryothorus fasciatoventris_Finca La Magnolia_Totumo_Ibague_Tolima_7AGO1999 c_Bernabe Lopez-Lanus.png
54237;Pheugopedius;fasciatoventris;Black-bellied Wren;fasciatoventris;Bernabe Lopez-Lanus;Colombia;Finca La Magnolia, Corregimiento Totumo, Ibague, Tolima;;;Song;Thryothorus fasciatoventris_Finca La Magnolia_Totumo_Ibague_Tolima_7AGO1999 d_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Thryothorus fasciatoventris_Finca La Magnolia_Totumo_Ibague_Tolima_7AGO1999 d_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Thryothorus fasciatoventris_Finca La Magnolia_Totumo_Ibague_Tolima_7AGO1999 d_Bernabe Lopez-Lanus.png
54240;Pheugopedius;fasciatoventris;Black-bellied Wren;fasciatoventris;Bernabe Lopez-Lanus;Colombia;Finca La Magnolia, Corregimiento Totumo, Ibague, Tolima;;;Song;Thryothorus fasciatoventris_Finca La Magnolia_Totumo_Ibague_Tolima_8AGO1999 e_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Thryothorus fasciatoventris_Finca La Magnolia_Totumo_Ibague_Tolima_8AGO1999 e_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Thryothorus fasciatoventris_Finca La Magnolia_Totumo_Ibague_Tolima_8AGO1999 e_Bernabe Lopez-Lanus.png
56906;Pheugopedius;fasciatoventris;Black-bellied Wren;albigularis;Mike Nelson;Panama;Western Darien, trail to La Marea, Panama;8.121;-78.001;Song;BlackbelliedWren.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/BlackbelliedWren.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/BlackbelliedWren.png
56907;Pheugopedius;fasciatoventris;Black-bellied Wren;albigularis;Mike Nelson;Panama;Western Darien, trail to La Marea, Panama;8.121;-78.001;Song;BlackbelliedWren2.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/BlackbelliedWren2.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/BlackbelliedWren2.png
59605;Pheugopedius;fasciatoventris;Black-bellied Wren;albigularis;Mike Nelson;Panama;La Marea, Darien;8.1509;-77.9931;Song;BlackbelliedWren3.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/BlackbelliedWren3.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/BlackbelliedWren3.png
62848;Pheugopedius;fasciatoventris;Black-bellied Wren;;Patrice Adret;Costa Rica;Reserva Biologica Carara;9.733;-84.59;song;Black-bellied wren-song1.mp3;http://www.xeno-canto.org/sounds/uploaded/LWUNWNGTQN/Black-bellied wren-song1.mp3;http://www.xeno-canto.org/sounds/uploaded/LWUNWNGTQN/ffts/tb/Black-bellied wren-song1.png
