18842;Pomatorhinus;montanus;Chestnut-backed Scimitar Babbler;;Mike Catsis;Indonesia;Gunung Gede National Park, Java;-6.727348;106.97113;song?;Chestnut-backed Scimitar Babbler.mp3;http://www.xeno-canto.org/sounds/uploaded/ZLOFZBWWBW/Chestnut-backed Scimitar Babbler.mp3;http://www.xeno-canto.org/sounds/uploaded/ZLOFZBWWBW/ffts/tb/Chestnut-backed Scimitar Babbler.png
19024;Pomatorhinus;montanus;Chestnut-backed Scimitar Babbler;;David Edwards;Malaysia;Danum Valley, Sabah, Borneo;4.9767;117.7417;song;Chestnut-backedScimitar-BabblerEdwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/Chestnut-backedScimitar-BabblerEdwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/ffts/tb/Chestnut-backedScimitar-BabblerEdwards.png
29921;Pomatorhinus;montanus;Chestnut-backed Scimitar Babbler;;David Edwards;Malaysia;Danum Valley, Sabah, Borneo;4.9767;117.7417;song;Chestnut-backedScimitar-babblerDanum08Edwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/Chestnut-backedScimitar-babblerDanum08Edwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/ffts/tb/Chestnut-backedScimitar-babblerDanum08Edwards.png
30699;Pomatorhinus;montanus;Chestnut-backed Scimitar Babbler;;Frank Lambert;Indonesia;Cibodas, Java;-6.715073;107.018166;song;Chestnut-backedScimitar-babblerCibodas91Lambert.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Chestnut-backedScimitar-babblerCibodas91Lambert.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Chestnut-backedScimitar-babblerCibodas91Lambert.png
36864;Pomatorhinus;montanus;Chestnut-backed Scimitar Babbler;;Bas van Balen;Indonesia;Mt Merapi, Java;-7.5559;110.4451;;Pommon14xi95_0850BvB 1.mp3;http://www.xeno-canto.org/sounds/uploaded/VSXHBVQJDA/Pommon14xi95_0850BvB 1.mp3;http://www.xeno-canto.org/sounds/uploaded/VSXHBVQJDA/ffts/tb/Pommon14xi95_0850BvB 1.png
38409;Pomatorhinus;montanus;Chestnut-backed Scimitar Babbler;;Matthias Feuersenger;Indonesia;Bali Botanical Gardens, Bedugul, Bali;;;Song;Chestnutbacked_Scimitarbabbler_Bali_Bedugul_04_08_2009.mp3;http://www.xeno-canto.org/sounds/uploaded/HBPYQXTJEV/Chestnutbacked_Scimitarbabbler_Bali_Bedugul_04_08_2009.mp3;http://www.xeno-canto.org/sounds/uploaded/HBPYQXTJEV/ffts/tb/Chestnutbacked_Scimitarbabbler_Bali_Bedugul_04_08_2009.png
39381;Pomatorhinus;montanus;Chestnut-backed Scimitar Babbler;bornensis;Mike Nelson;Malaysia;Borneo Rainforest Lodge, Danum Valley, Sabah, Borneo;5.0198;117.7462;Song;Chestnut-backedScimitar-babbler1.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/Chestnut-backedScimitar-babbler1.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/Chestnut-backedScimitar-babbler1.png
39382;Pomatorhinus;montanus;Chestnut-backed Scimitar Babbler;bornensis;Mike Nelson;Malaysia;Borneo Rainforest Lodge, Danum Valley, Sabah, Borneo;5.0198;117.7462;Song;Chestnut-backedScimitar-babbler2.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/Chestnut-backedScimitar-babbler2.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/Chestnut-backedScimitar-babbler2.png
40408;Pomatorhinus;montanus;Chestnut-backed Scimitar Babbler;;David Edwards;Malaysia;Borneo Rainforest Lodge, Sabah, Borneo;5.0198;117.7462;song;Chestnut-backedScimitar-babbler2BRL09Edwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/Chestnut-backedScimitar-babbler2BRL09Edwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/ffts/tb/Chestnut-backedScimitar-babbler2BRL09Edwards.png
40409;Pomatorhinus;montanus;Chestnut-backed Scimitar Babbler;;David Edwards;Malaysia;Borneo Rainforest Lodge, Sabah, Borneo;5.0198;117.7462;song;Chestnut-backedScimitar-babblerBRL09Edwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/Chestnut-backedScimitar-babblerBRL09Edwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/ffts/tb/Chestnut-backedScimitar-babblerBRL09Edwards.png
58843;Pomatorhinus;montanus;Chestnut-backed Scimitar Babbler;occidentalis;Frank Lambert;Malaysia;Bukit Fraser, border of Pahang and Selangor;3.712;101.7381;calls;Pomatorhinus_montanus_occidentalis-FL_FrasersHill_MY+12Mar2010_1200m_R09_0030.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Pomatorhinus_montanus_occidentalis-FL_FrasersHill_MY+12Mar2010_1200m_R09_0030.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Pomatorhinus_montanus_occidentalis-FL_FrasersHill_MY+12Mar2010_1200m_R09_0030.png
64655;Pomatorhinus;montanus;Chestnut-backed Scimitar Babbler;;Iain Woxvold;Indonesia;Upper Maruwai catchment, Central Kalimantan;-0.1126;114.8556;Song;Chestnut-backed_Scim-bab_IW1.mp3;http://www.xeno-canto.org/sounds/uploaded/IASEWSJZCS/Chestnut-backed_Scim-bab_IW1.mp3;http://www.xeno-canto.org/sounds/uploaded/IASEWSJZCS/ffts/tb/Chestnut-backed_Scim-bab_IW1.png
65527;Pomatorhinus;montanus;Chestnut-backed Scimitar Babbler;occidentalis;Sander Pieterse;Malaysia;Bukit Fraser, border of Pahang and Selangor;3.712;101.7381;song;SP_Malaysia_2010_-_Chestnut-backed_Scimitar-babbler_song_(Bukit_Fraser).mp3;http://www.xeno-canto.org/sounds/uploaded/HMLZGZJENG/SP_Malaysia_2010_-_Chestnut-backed_Scimitar-babbler_song_(Bukit_Fraser).mp3;http://www.xeno-canto.org/sounds/uploaded/HMLZGZJENG/ffts/tb/SP_Malaysia_2010_-_Chestnut-backed_Scimitar-babbler_song_(Bukit_Fraser).png
71652;Pomatorhinus;montanus;Chestnut-backed Scimitar Babbler;montanus;Bas van Balen;Indonesia;Mt Halimun, West Java;;;call;Pommont_2viii86_1053_27B099.mp3;http://www.xeno-canto.org/sounds/uploaded/VSXHBVQJDA/Pommont_2viii86_1053_27B099.mp3;http://www.xeno-canto.org/sounds/uploaded/VSXHBVQJDA/ffts/tb/Pommont_2viii86_1053_27B099.png
90718;Pomatorhinus;montanus;Chestnut-backed Scimitar Babbler;;Fabian Ducry  and  David Marques;Indonesia;Gede Pangrango National Park, West Java Province, Java;-6.75147881164794;106.9897899629;song;20090821_GedePangrango_Chestnut-backedScimitarBabbler_song.mp3;http://www.xeno-canto.org/sounds/uploaded/VLLMNTIBZB/20090821_GedePangrango_Chestnut-backedScimitarBabbler_song.mp3;http://www.xeno-canto.org/sounds/uploaded/VLLMNTIBZB/ffts/tb/20090821_GedePangrango_Chestnut-backedScimitarBabbler_song.png
