331;Psarocolius;montezuma;Montezuma Oropendola;;Jorgen Peter Kjeldsen;Nicaragua;La Cañada, Monte Tabor, Managua;12.051144;-86.34721;song;MontezumaOropendola.030608.LaCanada.mp3;http://www.xeno-canto.org/sounds/uploaded/DBQCDDNUDU/MontezumaOropendola.030608.LaCanada.mp3;http://www.xeno-canto.org/sounds/uploaded/DBQCDDNUDU/ffts/tb/MontezumaOropendola.030608.LaCanada.png
619;Psarocolius;montezuma;Montezuma Oropendola;;Dan Mennill;Mexico;Calakmul, Campeche;18.1181;-89.7951;call;MOORcall.mp3;http://www.xeno-canto.org/sounds/uploaded/NHJILLHRNZ/MOORcall.mp3;http://www.xeno-canto.org/sounds/uploaded/NHJILLHRNZ/ffts/tb/MOORcall.png
620;Psarocolius;montezuma;Montezuma Oropendola;;Dan Mennill;Mexico;Calakmul, Campeche;18.1181;-89.7951;song;MOORfire.mp3;http://www.xeno-canto.org/sounds/uploaded/NHJILLHRNZ/MOORfire.mp3;http://www.xeno-canto.org/sounds/uploaded/NHJILLHRNZ/ffts/tb/MOORfire.png
621;Psarocolius;montezuma;Montezuma Oropendola;;Dan Mennill;Mexico;Calakmul, Campeche;18.1181;-89.7951;song;MOORsong.mp3;http://www.xeno-canto.org/sounds/uploaded/NHJILLHRNZ/MOORsong.mp3;http://www.xeno-canto.org/sounds/uploaded/NHJILLHRNZ/ffts/tb/MOORsong.png
1103;Psarocolius;montezuma;Montezuma Oropendola;;Robin Carter;Costa Rica;Rancho Naturalista;9.832;-83.5639;song;MontezumaOropendola20040308126.mp3;http://www.xeno-canto.org/sounds/uploaded/LNBKSKKLXO/MontezumaOropendola20040308126.mp3;http://www.xeno-canto.org/sounds/uploaded/LNBKSKKLXO/ffts/tb/MontezumaOropendola20040308126.png
3336;Psarocolius;montezuma;Montezuma Oropendola;;Don Jones;Belize;Caracol ruins;16.75;-89.1;calls at colony;montoro.mp3;http://www.xeno-canto.org/sounds/uploaded/BCWZQTGMSO/montoro.mp3;http://www.xeno-canto.org/sounds/uploaded/BCWZQTGMSO/ffts/tb/montoro.png
5091;Psarocolius;montezuma;Montezuma Oropendola;;Nathan Pieplow;Mexico;Just north of Tamazunchale, San Luis Potosi;21.2667;-98.7834;song;NDP2005-MOOR-Tamaz-SLP-12-31.mp3;http://www.xeno-canto.org/sounds/uploaded/EKKJJJRDJY/NDP2005-MOOR-Tamaz-SLP-12-31.mp3;http://www.xeno-canto.org/sounds/uploaded/EKKJJJRDJY/ffts/tb/NDP2005-MOOR-Tamaz-SLP-12-31.png
10931;Psarocolius;montezuma;Montezuma Oropendola;;Rolf A. de By;Costa Rica;Finca la Selva;;;song;montezuma_oropendola_rdb.mp3;http://www.xeno-canto.org/sounds/uploaded/PTYTXQRLSZ/montezuma_oropendola_rdb.mp3;http://www.xeno-canto.org/sounds/uploaded/PTYTXQRLSZ/ffts/tb/montezuma_oropendola_rdb.png
11198;Psarocolius;montezuma;Montezuma Oropendola;;Doug Knapp;Nicaragua;Montibelli;12.022;-86.2323;song;91b.mp3;http://www.xeno-canto.org/sounds/uploaded/BHRXQZEQFL/91b.mp3;http://www.xeno-canto.org/sounds/uploaded/BHRXQZEQFL/ffts/tb/91b.png
15547;Psarocolius;montezuma;Montezuma Oropendola;;Don Jones;Costa Rica;La Selva, Sarapiqui, Heredia;10.4314;-84.039;calls;montezumaoropendula.mp3;http://www.xeno-canto.org/sounds/uploaded/BCWZQTGMSO/montezumaoropendula.mp3;http://www.xeno-canto.org/sounds/uploaded/BCWZQTGMSO/ffts/tb/montezumaoropendula.png
28312;Psarocolius;montezuma;Montezuma Oropendola;;Daniel Lane;Belize;Rio Bravo Research Area, Orange Walk Dist.;17.777;-89.0114;song;Psarocolius.montezumae9401-1intervals shortened.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/Psarocolius.montezumae9401-1intervals shortened.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/tb/Psarocolius.montezumae9401-1intervals shortened.png
46973;Psarocolius;montezuma;Montezuma Oropendola;;Rosabel Miro;Panama;Isla Colon, Bocas del Toro;9.39;-82.28;call;Montezuma_Oropendula_080525-1113R_4.mp3;http://www.xeno-canto.org/sounds/uploaded/YYXBZIUEHJ/Montezuma_Oropendula_080525-1113R_4.mp3;http://www.xeno-canto.org/sounds/uploaded/YYXBZIUEHJ/ffts/tb/Montezuma_Oropendula_080525-1113R_4.png
57008;Psarocolius;montezuma;Montezuma Oropendola;;Ryan P. O'Donnell;Costa Rica;CATIE campus, Turrialba;9.89;-83.654;Song;04 Montezuma Oropendola edited.mp3;http://www.xeno-canto.org/sounds/uploaded/SDXVTLDNGJ/04 Montezuma Oropendola edited.mp3;http://www.xeno-canto.org/sounds/uploaded/SDXVTLDNGJ/ffts/tb/04 Montezuma Oropendola edited.png
62764;Psarocolius;montezuma;Montezuma Oropendola;;Patrice Adret;Costa Rica;Puerto Viejo, Limon, Costa Rica;9.638;-82.715;song;Montezuma oropendola.mp3;http://www.xeno-canto.org/sounds/uploaded/LWUNWNGTQN/Montezuma oropendola.mp3;http://www.xeno-canto.org/sounds/uploaded/LWUNWNGTQN/ffts/tb/Montezuma oropendola.png
84249;Psarocolius;montezuma;Montezuma Oropendola;;Jelmer Poelstra;Guatemala;Tikal, Peten;17.221;-89.623;song;080925_19_Oropendula_Tikal2.mp3;http://www.xeno-canto.org/sounds/uploaded/RKAYEOOLQW/080925_19_Oropendula_Tikal2.mp3;http://www.xeno-canto.org/sounds/uploaded/RKAYEOOLQW/ffts/tb/080925_19_Oropendula_Tikal2.png
92854;Psarocolius;montezuma;Montezuma Oropendola;;Tom Stevens;Costa Rica;TCU Research Station;10.2501;-84.5501;Song;mo.mp3;http://www.xeno-canto.org/sounds/uploaded/IOGJYLJODK/mo.mp3;http://www.xeno-canto.org/sounds/uploaded/IOGJYLJODK/ffts/tb/mo.png
92904;Psarocolius;montezuma;Montezuma Oropendola;;manuel Grosselet;Mexico;Parque Yaguarundi;18.12;-94.368;call;Montezuma Oropendula 1.mp3;http://www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/Montezuma Oropendula 1.mp3;http://www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/tb/Montezuma Oropendula 1.png
93446;Psarocolius;montezuma;Montezuma Oropendola;;Tom Stevens;Costa Rica;TCU Research Station;10.2501;-84.5501;Calls;mo2.mp3;http://www.xeno-canto.org/sounds/uploaded/IOGJYLJODK/mo2.mp3;http://www.xeno-canto.org/sounds/uploaded/IOGJYLJODK/ffts/tb/mo2.png
93499;Psarocolius;montezuma;Montezuma Oropendola;;Tom Stevens;Costa Rica;TCU Research Station;10.2501;-84.5501;Song;mo3.mp3;http://www.xeno-canto.org/sounds/uploaded/IOGJYLJODK/mo3.mp3;http://www.xeno-canto.org/sounds/uploaded/IOGJYLJODK/ffts/tb/mo3.png
93718;Psarocolius;montezuma;Montezuma Oropendola;;Tom Stevens;Costa Rica;TCU Research Station;10.2501;-84.5501;;nm13.mp3;http://www.xeno-canto.org/sounds/uploaded/IOGJYLJODK/nm13.mp3;http://www.xeno-canto.org/sounds/uploaded/IOGJYLJODK/ffts/tb/nm13.png
