67423;Pseudoalcippe;atriceps;Ruwenzori Hill Babbler;;Marcell Claassen;Rwanda;Nyungwe Forest, Rwanda;-2.49;29.081;song;Ruwenzori_Hill_Babbler 1.mp3;http://www.xeno-canto.org/sounds/uploaded/AAIESTNDCJ/Ruwenzori_Hill_Babbler 1.mp3;http://www.xeno-canto.org/sounds/uploaded/AAIESTNDCJ/ffts/tb/Ruwenzori_Hill_Babbler 1.png
71440;Pseudoalcippe;atriceps;Ruwenzori Hill Babbler;atriceps;Bram Piot;Burundi;Kibira Forest NP (Teza);-3.198;29.55;Song;Pseudoalcippe_atriceps_Kibira_20110206_edited.mp3;http://www.xeno-canto.org/sounds/uploaded/RGSEIIJGHA/Pseudoalcippe_atriceps_Kibira_20110206_edited.mp3;http://www.xeno-canto.org/sounds/uploaded/RGSEIIJGHA/ffts/tb/Pseudoalcippe_atriceps_Kibira_20110206_edited.png
75392;Pseudoalcippe;atriceps;Ruwenzori Hill Babbler;atriceps;Jason Anderson;Rwanda;Nyungwe Forest, Rwanda;-2.49;29.081;Song;African Hill Babbler (Rwenzori) Rw 01.mp3;http://www.xeno-canto.org/sounds/uploaded/VOEGHWZWDL/African Hill Babbler (Rwenzori) Rw 01.mp3;http://www.xeno-canto.org/sounds/uploaded/VOEGHWZWDL/ffts/tb/African Hill Babbler (Rwenzori) Rw 01.png
98881;Pseudoalcippe;atriceps;Ruwenzori Hill Babbler;;Mike Nelson;Cameroon;Mt Oku, Bamenda Highlands;6.2001;10.5189;Song;AfricanHillBabbler6.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/AfricanHillBabbler6.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/AfricanHillBabbler6.png
98882;Pseudoalcippe;atriceps;Ruwenzori Hill Babbler;;Mike Nelson;Cameroon;Mt Oku, Bamenda Highlands;6.2001;10.5189;Song;AfricanHillBabbler7.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/AfricanHillBabbler7.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/AfricanHillBabbler7.png
98883;Pseudoalcippe;atriceps;Ruwenzori Hill Babbler;;Mike Nelson;Cameroon;Mt Oku, Bamenda Highlands;6.2001;10.5189;Song;AfricanHillBabbler8.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/AfricanHillBabbler8.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/AfricanHillBabbler8.png
98884;Pseudoalcippe;atriceps;Ruwenzori Hill Babbler;;Mike Nelson;Cameroon;Mt Oku, Bamenda Highlands;6.2001;10.5189;Song;AfricanHillBabbler9.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/AfricanHillBabbler9.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/AfricanHillBabbler9.png
98885;Pseudoalcippe;atriceps;Ruwenzori Hill Babbler;;Mike Nelson;Cameroon;Mt Oku, Bamenda Highlands;6.2001;10.5189;Song;AfricanHillBabbler91.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/AfricanHillBabbler91.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/AfricanHillBabbler91.png
98886;Pseudoalcippe;atriceps;Ruwenzori Hill Babbler;;Mike Nelson;Cameroon;Mt Oku, Bamenda Highlands;6.2001;10.5189;Song;AfricanHillBabbler92.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/AfricanHillBabbler92.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/AfricanHillBabbler92.png
98887;Pseudoalcippe;atriceps;Ruwenzori Hill Babbler;;Mike Nelson;Cameroon;Mt Oku, Bamenda Highlands;6.2001;10.5189;Song;AfricanHillBabbler93.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/AfricanHillBabbler93.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/AfricanHillBabbler93.png
98888;Pseudoalcippe;atriceps;Ruwenzori Hill Babbler;;Mike Nelson;Cameroon;Mt Oku, Bamenda Highlands;6.2001;10.5189;Sub Song;AfricanHillBabblersubsong.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/AfricanHillBabblersubsong.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/AfricanHillBabblersubsong.png
