2461;Schistochlamys;melanopis;Black-faced Tanager;;Sjoerd Mayer;Bolivia;Pampa de San Lorenzo, Riberalta, Beni;-11.01;-65.75;Alarm calls;62/a09.mp3;http://www.xeno-canto.org/sounds/uploaded/KOIEAHGHNX/62/a09.mp3;http://www.xeno-canto.org/sounds/uploaded/KOIEAHGHNX/ffts/tb/62_a09.png
7598;Schistochlamys;melanopis;Black-faced Tanager;;Glauco Alves Pereira;Brazil;Sítio Palmeiras, Gravatá, Pernambuco;;;Song;Schistochlamys melanopis_Sitio Palmeiras, Gravata, PE_22.04.04_Glauco.mp3;http://www.xeno-canto.org/sounds/uploaded/ZWEROGGYVP/Schistochlamys melanopis_Sitio Palmeiras, Gravata, PE_22.04.04_Glauco.mp3;http://www.xeno-canto.org/sounds/uploaded/ZWEROGGYVP/ffts/tb/Schistochlamys melanopis_Sitio Palmeiras, Gravata, PE_22.04.04_Glauco.png
9425;Schistochlamys;melanopis;Black-faced Tanager;;Bradley Davis;Brazil;Serra dos Caiabis, Alta Floresta - MT;-10.7501;-56.7501;flight calls;BD_2006-07-29_Schistochlamys_melanopis.mp3;http://www.xeno-canto.org/sounds/uploaded/YNXJLOESBB/BD_2006-07-29_Schistochlamys_melanopis.mp3;http://www.xeno-canto.org/sounds/uploaded/YNXJLOESBB/ffts/tb/BD_2006-07-29_Schistochlamys_melanopis.png
44032;Schistochlamys;melanopis;Black-faced Tanager;aterrima;Alexandre Renaudier;French Guiana;Awala-Yalimapo, digue;5.73778;-53.945961;song;20080628SCHMELsong.mp3;http://www.xeno-canto.org/sounds/uploaded/GKADEITXTH/20080628SCHMELsong.mp3;http://www.xeno-canto.org/sounds/uploaded/GKADEITXTH/ffts/tb/20080628SCHMELsong.png
53527;Schistochlamys;melanopis;Black-faced Tanager;;Julian Quillen Vidoz;Bolivia;Estancia Caparu, Lagunitas, Santa Cruz;;;song;TANAGER Black-faced_01_Estancia Caparu_Lagunitas_Santa Cruz_BO_20OCT05_Julian Quillen Vidoz.mp3;http://www.xeno-canto.org/sounds/uploaded/AJVIGZMPYA/TANAGER Black-faced_01_Estancia Caparu_Lagunitas_Santa Cruz_BO_20OCT05_Julian Quillen Vidoz.mp3;http://www.xeno-canto.org/sounds/uploaded/AJVIGZMPYA/ffts/tb/TANAGER Black-faced_01_Estancia Caparu_Lagunitas_Santa Cruz_BO_20OCT05_Julian Quillen Vidoz.png
53528;Schistochlamys;melanopis;Black-faced Tanager;;Julian Quillen Vidoz;Bolivia;Estancia Caparu, Lagunitas, Santa Cruz;;;song;TANAGER Black-faced_02_Estancia Caparu_Lagunitas_Santa Cruz_BO_20OCT05_Julian Quillen Vidoz.mp3;http://www.xeno-canto.org/sounds/uploaded/AJVIGZMPYA/TANAGER Black-faced_02_Estancia Caparu_Lagunitas_Santa Cruz_BO_20OCT05_Julian Quillen Vidoz.mp3;http://www.xeno-canto.org/sounds/uploaded/AJVIGZMPYA/ffts/tb/TANAGER Black-faced_02_Estancia Caparu_Lagunitas_Santa Cruz_BO_20OCT05_Julian Quillen Vidoz.png
53529;Schistochlamys;melanopis;Black-faced Tanager;;Julian Quillen Vidoz;Bolivia;Estancia Caparu, Lagunitas, Santa Cruz;;;song;TANAGER Black-faced_03_Estancia Caparu_Lagunitas_Santa Cruz_BO_7OCT05_Julian Quillen Vidoz.mp3;http://www.xeno-canto.org/sounds/uploaded/AJVIGZMPYA/TANAGER Black-faced_03_Estancia Caparu_Lagunitas_Santa Cruz_BO_7OCT05_Julian Quillen Vidoz.mp3;http://www.xeno-canto.org/sounds/uploaded/AJVIGZMPYA/ffts/tb/TANAGER Black-faced_03_Estancia Caparu_Lagunitas_Santa Cruz_BO_7OCT05_Julian Quillen Vidoz.png
53530;Schistochlamys;melanopis;Black-faced Tanager;;Julian Quillen Vidoz;Bolivia;Estancia Caparu, Lagunitas, Santa Cruz;;;song;TANAGER Black-faced_04_Estancia Caparu_Lagunitas_Santa Cruz_BO_20OCT05_Julian Quillen Vidoz.mp3;http://www.xeno-canto.org/sounds/uploaded/AJVIGZMPYA/TANAGER Black-faced_04_Estancia Caparu_Lagunitas_Santa Cruz_BO_20OCT05_Julian Quillen Vidoz.mp3;http://www.xeno-canto.org/sounds/uploaded/AJVIGZMPYA/ffts/tb/TANAGER Black-faced_04_Estancia Caparu_Lagunitas_Santa Cruz_BO_20OCT05_Julian Quillen Vidoz.png
53531;Schistochlamys;melanopis;Black-faced Tanager;;Julian Quillen Vidoz;Bolivia;Estancia Caparu, Santa Cruz;;;call;TANAGER Black-faced_06_Estancia Caparu_Santa Cruz_BO_26OCT06_Julian Quillen Vidoz.mp3;http://www.xeno-canto.org/sounds/uploaded/AJVIGZMPYA/TANAGER Black-faced_06_Estancia Caparu_Santa Cruz_BO_26OCT06_Julian Quillen Vidoz.mp3;http://www.xeno-canto.org/sounds/uploaded/AJVIGZMPYA/ffts/tb/TANAGER Black-faced_06_Estancia Caparu_Santa Cruz_BO_26OCT06_Julian Quillen Vidoz.png
60906;Schistochlamys;melanopis;Black-faced Tanager;;Miguel Castelino;French Guiana;Cayenne;;;song;TANAGER Black-faced_05_Cayenne_Guyana Francesa_2ABR96_Miguel Castelino.mp3;http://www.xeno-canto.org/sounds/uploaded/RCJCABZSNP/TANAGER Black-faced_05_Cayenne_Guyana Francesa_2ABR96_Miguel Castelino.mp3;http://www.xeno-canto.org/sounds/uploaded/RCJCABZSNP/ffts/tb/TANAGER Black-faced_05_Cayenne_Guyana Francesa_2ABR96_Miguel Castelino.png
