1757;Sporophila;ruficollis;Dark-throated Seedeater;;Sjoerd Mayer;Bolivia;Samaipata, Santa Cruz;-18.0167;-63.8667;Calls;21/a06.mp3;http://www.xeno-canto.org/sounds/uploaded/KOIEAHGHNX/21/a06.mp3;http://www.xeno-canto.org/sounds/uploaded/KOIEAHGHNX/ffts/tb/21_a06.png
30376;Sporophila;ruficollis;Dark-throated Seedeater;;Paul Smith;Paraguay;Arroyos y Esteros km 100;;;Single note;Sporophila ruficollis imm male arroyos y esteros km 100 18 oct 08.mp3;http://www.xeno-canto.org/sounds/uploaded/QEQQOPLWSO/Sporophila ruficollis imm male arroyos y esteros km 100 18 oct 08.mp3;http://www.xeno-canto.org/sounds/uploaded/QEQQOPLWSO/ffts/tb/Sporophila ruficollis imm male arroyos y esteros km 100 18 oct 08.png
41304;Sporophila;ruficollis;Dark-throated Seedeater;;Carlos M. Grassini;Argentina;Aerodromo de Chajari, Chajari, Dpto. Federacion, Entre Rios;-30.7509;-57.9989;Song;SporophilaruficollisAerodromoChajariERARCMGrassiniNMaltempoRMarsilli.mp3;http://www.xeno-canto.org/sounds/uploaded/NVGJVYZOYT/SporophilaruficollisAerodromoChajariERARCMGrassiniNMaltempoRMarsilli.mp3;http://www.xeno-canto.org/sounds/uploaded/NVGJVYZOYT/ffts/tb/SporophilaruficollisAerodromoChajariERARCMGrassiniNMaltempoRMarsilli.png
42580;Sporophila;ruficollis;Dark-throated Seedeater;;Carlos M. Grassini;Argentina;Aerodromo de Chajari, Chajari, Dpto. Federacion, Entre Rios;-30.7509;-57.9989;call;STE000SporophilaruficollisCMGrassiniChajariERAR06012010aerodromo.mp3;http://www.xeno-canto.org/sounds/uploaded/NVGJVYZOYT/STE000SporophilaruficollisCMGrassiniChajariERAR06012010aerodromo.mp3;http://www.xeno-canto.org/sounds/uploaded/NVGJVYZOYT/ffts/tb/STE000SporophilaruficollisCMGrassiniChajariERAR06012010aerodromo.png
47168;Sporophila;ruficollis;Dark-throated Seedeater;;Bernabe Lopez-Lanus;Argentina;Bajos Submeridionales (Estancia La Sombrilla/Canal Parana), Los Amores, norte de Santa Fe;;;Song;Sporophila ruficollis_Dark-throated Seedeater_Bajos Submeridionales (Estancia La Sombrilla-Canal Parana)_Los Amores_Santa Fe_Argentina a_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Sporophila ruficollis_Dark-throated Seedeater_Bajos Submeridionales (Estancia La Sombrilla-Canal Parana)_Los Amores_Santa Fe_Argentina a_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Sporophila ruficollis_Dark-throated Seedeater_Bajos Submeridionales (Estancia La Sombrilla-Canal Parana)_Los Amores_Santa Fe_Argentina a_Bernabe Lopez-Lanus.png
47170;Sporophila;ruficollis;Dark-throated Seedeater;;Bernabe Lopez-Lanus;Argentina;Estancia El Potrero, Gualeguaychu, Entre Rios;;;Song;Sporophila ruficollis_Dark-throated Seedeater_Estancia El Potrero (area Puerto Unzue)_Gualeguaychu_Entre Rios_Argentina b_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Sporophila ruficollis_Dark-throated Seedeater_Estancia El Potrero (area Puerto Unzue)_Gualeguaychu_Entre Rios_Argentina b_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Sporophila ruficollis_Dark-throated Seedeater_Estancia El Potrero (area Puerto Unzue)_Gualeguaychu_Entre Rios_Argentina b_Bernabe Lopez-Lanus.png
49699;Sporophila;ruficollis;Dark-throated Seedeater;;Rosendo Fraga;Uruguay;El Queguayar, Paysandu;;;song;SEEDEATER Dark-throated_08_El Queguayar_Paysandu_UY_14NOV03_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/SEEDEATER Dark-throated_08_El Queguayar_Paysandu_UY_14NOV03_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/tb/SEEDEATER Dark-throated_08_El Queguayar_Paysandu_UY_14NOV03_Rosendo Fraga.png
49700;Sporophila;ruficollis;Dark-throated Seedeater;;Rosendo Fraga;Uruguay;El Queguayar, Paysandu;;;song;SEEDEATER Dark-throated_09_El Queguayar_Paysandu_UY_14NOV03_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/SEEDEATER Dark-throated_09_El Queguayar_Paysandu_UY_14NOV03_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/tb/SEEDEATER Dark-throated_09_El Queguayar_Paysandu_UY_14NOV03_Rosendo Fraga.png
49701;Sporophila;ruficollis;Dark-throated Seedeater;;Rosendo Fraga;Argentina;Gualeguaychu, Entre Rios;-33.014997;-58.51902;song;SEEDEATER Dark-throated_10_Las Cruces_Gualeguaychu_Entre Rios_AR_29NOV99_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/SEEDEATER Dark-throated_10_Las Cruces_Gualeguaychu_Entre Rios_AR_29NOV99_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/tb/SEEDEATER Dark-throated_10_Las Cruces_Gualeguaychu_Entre Rios_AR_29NOV99_Rosendo Fraga.png
49702;Sporophila;ruficollis;Dark-throated Seedeater;;Rosendo Fraga;Argentina;Gualeguaychu, Entre Rios;-33.014997;-58.51902;song;SEEDEATER Dark-throated_12_Las Cruces_Gualeguaychu_Entre Rios_AR_29NOV99_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/SEEDEATER Dark-throated_12_Las Cruces_Gualeguaychu_Entre Rios_AR_29NOV99_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/tb/SEEDEATER Dark-throated_12_Las Cruces_Gualeguaychu_Entre Rios_AR_29NOV99_Rosendo Fraga.png
49703;Sporophila;ruficollis;Dark-throated Seedeater;;Rosendo Fraga;Uruguay;El Queguayar, Paysandu;;;song;SEEDEATER Dark-throated_17_El Queguayar_Paysandu_UY_14NOV03_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/SEEDEATER Dark-throated_17_El Queguayar_Paysandu_UY_14NOV03_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/tb/SEEDEATER Dark-throated_17_El Queguayar_Paysandu_UY_14NOV03_Rosendo Fraga.png
