30010;Stachyridopsis;rufifrons;Rufous-fronted Babbler;;David Edwards;Malaysia;Danum Valley, Sabah, Borneo;4.9767;117.7417;song;Rufous-frontedBabbler2Danum08Edwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/Rufous-frontedBabbler2Danum08Edwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/ffts/tb/Rufous-frontedBabbler2Danum08Edwards.png
30011;Stachyridopsis;rufifrons;Rufous-fronted Babbler;;David Edwards;Malaysia;Danum Valley, Sabah, Borneo;4.9767;117.7417;song;Rufous-frontedBabblerDanum08Edwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/Rufous-frontedBabblerDanum08Edwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/ffts/tb/Rufous-frontedBabblerDanum08Edwards.png
30012;Stachyridopsis;rufifrons;Rufous-fronted Babbler;;David Edwards;Malaysia;Danum Valley, Sabah, Borneo;4.9767;117.7417;alarm call;Rufous-frontedBabblerscoldingDanum08Edwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/Rufous-frontedBabblerscoldingDanum08Edwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/ffts/tb/Rufous-frontedBabblerscoldingDanum08Edwards.png
34488;Stachyridopsis;rufifrons;Rufous-fronted Babbler;sarawacensis;Tjalle Boorsma;Indonesia;Sungai Wain Protection Forest, East Kalimantan, Borneo;-1.1167;116.8167;Song;090. Rufous-fronted Babbler (Song).mp3;http://www.xeno-canto.org/sounds/uploaded/YXENFOVUZX/090. Rufous-fronted Babbler (Song).mp3;http://www.xeno-canto.org/sounds/uploaded/YXENFOVUZX/ffts/tb/090. Rufous-fronted Babbler (Song).png
35864;Stachyridopsis;rufifrons;Rufous-fronted Babbler;;Arnold Meijer;Thailand;?;;;call;Rufous-fronted_Babbler_call.mp3;http://www.xeno-canto.org/sounds/uploaded/UXOKEACNUT/Rufous-fronted_Babbler_call.mp3;http://www.xeno-canto.org/sounds/uploaded/UXOKEACNUT/ffts/tb/Rufous-fronted_Babbler_call.png
56338;Stachyridopsis;rufifrons;Rufous-fronted Babbler;sarawacensis;Mike Nelson;Malaysia;Borneo Rainforest Lodge, Danum Valley, Sabah, Borneo;5.0198;117.7462;Song;RufousfrontedBabbler1.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/RufousfrontedBabbler1.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/RufousfrontedBabbler1.png
56339;Stachyridopsis;rufifrons;Rufous-fronted Babbler;sarawacensis;Mike Nelson;Malaysia;Borneo Rainforest Lodge, Danum Valley, Sabah, Borneo;5.0198;117.7462;Song;RufousfrontedBabbler2.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/RufousfrontedBabbler2.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/RufousfrontedBabbler2.png
58902;Stachyridopsis;rufifrons;Rufous-fronted Babbler;poliogaster;Frank Lambert;Malaysia;Borneo Rainforest Lodge, Danum Valley, Sabah, Borneo;5.0198;117.7462;song;Stachyridopsis_rufifrons_poliogaster-FL_BRLDanumValley_Sabah_MY_25Mar2010_250m_R09_0090.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Stachyridopsis_rufifrons_poliogaster-FL_BRLDanumValley_Sabah_MY_25Mar2010_250m_R09_0090.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Stachyridopsis_rufifrons_poliogaster-FL_BRLDanumValley_Sabah_MY_25Mar2010_250m_R09_0090.png
62178;Stachyridopsis;rufifrons;Rufous-fronted Babbler;poliogaster;Frank Lambert;Malaysia;Banding Dam area, logging road, Perak;5.5678;101.4009;song;Stachyris_rufifrons_poliogaster-FL (not seen) logging rd nrBandingDam Perak MY 322m 4Sept2010 FL015.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Stachyris_rufifrons_poliogaster-FL (not seen) logging rd nrBandingDam Perak MY 322m 4Sept2010 FL015.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Stachyris_rufifrons_poliogaster-FL (not seen) logging rd nrBandingDam Perak MY 322m 4Sept2010 FL015.png
65335;Stachyridopsis;rufifrons;Rufous-fronted Babbler;poliogaster;Rolf A. de By;Malaysia;Johor, Panti Forest Reserve, Ridge Trail;1.8456;103.9401;song;rdb2010_1025_074647.mp3;http://www.xeno-canto.org/sounds/uploaded/PTYTXQRLSZ/rdb2010_1025_074647.mp3;http://www.xeno-canto.org/sounds/uploaded/PTYTXQRLSZ/ffts/tb/rdb2010_1025_074647.png
