23995;Turdus;poliocephalus;Island Thrush;carbonarius;Niels Krabbe;Papua New Guinea;Tari Gap, between Tari and Mendi, Southern Highlands;-5.9667;143.1334;call;Turdus_poliocephalus_Island_Thrush_NK_NG_Tari_2006_12_26_A_249-250.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/Turdus_poliocephalus_Island_Thrush_NK_NG_Tari_2006_12_26_A_249-250.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/tb/Turdus_poliocephalus_Island_Thrush_NK_NG_Tari_2006_12_26_A_249-250.png
23996;Turdus;poliocephalus;Island Thrush;carbonarius;Niels Krabbe;Papua New Guinea;Tari Gap, between Tari and Mendi, Southern Highlands;-5.9667;143.1334;call;Turdus_poliocephalus_Island_Thrush_NK_NG_Tari_2006_12_26_A_361.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/Turdus_poliocephalus_Island_Thrush_NK_NG_Tari_2006_12_26_A_361.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/tb/Turdus_poliocephalus_Island_Thrush_NK_NG_Tari_2006_12_26_A_361.png
23997;Turdus;poliocephalus;Island Thrush;carbonarius;Niels Krabbe;Papua New Guinea;Tari Gap, between Tari and Mendi, Southern Highlands;-5.9667;143.1334;song;Turdus_poliocephalus_Island_Thrush_NK_NG_Tari_2006_12_28_A_148-152.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/Turdus_poliocephalus_Island_Thrush_NK_NG_Tari_2006_12_28_A_148-152.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/tb/Turdus_poliocephalus_Island_Thrush_NK_NG_Tari_2006_12_28_A_148-152.png
30708;Turdus;poliocephalus;Island Thrush;;Frank Lambert;Philippines;Mount Polis, Luzon;16.97472;121.02917;calls;IslandThrushMtPolisLambert.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/IslandThrushMtPolisLambert.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/IslandThrushMtPolisLambert.png
69704;Turdus;poliocephalus;Island Thrush;erythropleurus;Frank Lambert;Australia;Christmas Island;-10.48;105.62;call;Turdus_poliocephalus_ChristmasI-99b-FRL_AU_15_1114-1172_1_C.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Turdus_poliocephalus_ChristmasI-99b-FRL_AU_15_1114-1172_1_C.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Turdus_poliocephalus_ChristmasI-99b-FRL_AU_15_1114-1172_1_C.png
69705;Turdus;poliocephalus;Island Thrush;schlegelii;Frank Lambert;Indonesia;Timor Barat, Gunung Mutis;-9.56;124.23;call;Turdus_poliocephalus_Timor-99.1a-FRL_ID_25.1_12-38_1_C.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Turdus_poliocephalus_Timor-99.1a-FRL_ID_25.1_12-38_1_C.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Turdus_poliocephalus_Timor-99.1a-FRL_ID_25.1_12-38_1_C.png
69706;Turdus;poliocephalus;Island Thrush;;Frank Lambert;Indonesia;Timor Barat, Gunung Mutis;-9.56;124.23;call;Turdus_poliocephalus_WTimor-99-FRL_ID_1_39-90_1_C.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Turdus_poliocephalus_WTimor-99-FRL_ID_1_39-90_1_C.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Turdus_poliocephalus_WTimor-99-FRL_ID_1_39-90_1_C.png
77352;Turdus;poliocephalus;Island Thrush;layardi;Mark O'Brien;Fiji;Nakobelevu;-18.047;178.428;alarm call?;Island Thrush 1.mp3;http://www.xeno-canto.org/sounds/uploaded/TXEVZSSBTI/Island Thrush 1.mp3;http://www.xeno-canto.org/sounds/uploaded/TXEVZSSBTI/ffts/tb/Island Thrush 1.png
77353;Turdus;poliocephalus;Island Thrush;layardi;Mark O'Brien;Fiji;Nakobelevu;-18.047;178.428;Song;Island Thrush 2.mp3;http://www.xeno-canto.org/sounds/uploaded/TXEVZSSBTI/Island Thrush 2.mp3;http://www.xeno-canto.org/sounds/uploaded/TXEVZSSBTI/ffts/tb/Island Thrush 2.png
79278;Turdus;poliocephalus;Island Thrush;;Desmond Allen;Philippines;Mount Data National Park, Mountain Province, Luzon;;;song;99636.mp3;http://www.xeno-canto.org/sounds/uploaded/TPRMYCYSEA/99636.mp3;http://www.xeno-canto.org/sounds/uploaded/TPRMYCYSEA/ffts/tb/99636.png
99239;Turdus;poliocephalus;Island Thrush;niveiceps;Cynthia Su;Taiwan;Lalashan, Taoyuan County;0;0;Song;IslandThrush_song20120417_CynthiaSu.mp3;http://www.xeno-canto.org/sounds/uploaded/KJIUMYQVMO/IslandThrush_song20120417_CynthiaSu.mp3;http://www.xeno-canto.org/sounds/uploaded/KJIUMYQVMO/ffts/tb/IslandThrush_song20120417_CynthiaSu.png
