5828;Wilsonia;pusilla;Wilson's Warbler;;Richard Garrigues;Costa Rica;San Gerardo de Dota, San Jose Prov.;9.815299;-83.908081;Call;s warbler.mp3;http://www.xeno-canto.org/sounds/uploaded/JEMUWXXHFG/s warbler.mp3;http://www.xeno-canto.org/sounds/uploaded/JEMUWXXHFG/ffts/tb/s warbler.png
8942;Wilsonia;pusilla;Wilson's Warbler;;Allen T. Chartier;Costa Rica;Bajo Gloria, Genesis II Natural Area;9.7084;-83.9084;Call;Wilsonia_pusilla_CR-GII_19920323_C1_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/Wilsonia_pusilla_CR-GII_19920323_C1_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/ffts/tb/Wilsonia_pusilla_CR-GII_19920323_C1_ATC.png
8943;Wilsonia;pusilla;Wilson's Warbler;;Allen T. Chartier;Costa Rica;Bajo Gloria, Genesis II Natural Area;9.7084;-83.9084;Calls;Wilsonia_pusilla_CR-GII_19920323_C2_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/Wilsonia_pusilla_CR-GII_19920323_C2_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/ffts/tb/Wilsonia_pusilla_CR-GII_19920323_C2_ATC.png
11142;Wilsonia;pusilla;Wilson's Warbler;;Doug Knapp;Nicaragua;Selva Negra;13.0728;-85.9559;song;56b2.mp3;http://www.xeno-canto.org/sounds/uploaded/BHRXQZEQFL/56b2.mp3;http://www.xeno-canto.org/sounds/uploaded/BHRXQZEQFL/ffts/tb/56b2.png
14193;Wilsonia;pusilla;Wilson's Warbler;;Andrew Spencer;United States;Routt County, Colorado;40.51664;-106.98394;song;WIWA2007-6-22.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/WIWA2007-6-22.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/WIWA2007-6-22.png
14194;Wilsonia;pusilla;Wilson's Warbler;;Andrew Spencer;United States;Hinsdale County, Colorado;37.85;-107.33394;call;WIWA2007-7-3calls2.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/WIWA2007-7-3calls2.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/WIWA2007-7-3calls2.png
34291;Wilsonia;pusilla;Wilson's Warbler;;Tayler Brooks;United States;Cougar Mountain, King Co., WA;47.5409;-122.0959;Song;WIWA3.mp3;http://www.xeno-canto.org/sounds/uploaded/ARFGONJCBJ/WIWA3.mp3;http://www.xeno-canto.org/sounds/uploaded/ARFGONJCBJ/ffts/tb/WIWA3.png
36974;Wilsonia;pusilla;Wilson's Warbler;;Tayler Brooks;United States;Cougar Mountain, King Co., WA;47.5409;-122.0959;Call;12-WIWAc.mp3;http://www.xeno-canto.org/sounds/uploaded/ARFGONJCBJ/12-WIWAc.mp3;http://www.xeno-canto.org/sounds/uploaded/ARFGONJCBJ/ffts/tb/12-WIWAc.png
37365;Wilsonia;pusilla;Wilson's Warbler;;Bob Planqué;Canada;UBC campus, north shore, Vancouver, BC;49.273;-123.253;calls;WilsonsWarbler_call_UBC_270709_700.mp3;http://www.xeno-canto.org/sounds/uploaded/OH38YHKJBS/WilsonsWarbler_call_UBC_270709_700.mp3;http://www.xeno-canto.org/sounds/uploaded/OH38YHKJBS/ffts/tb/WilsonsWarbler_call_UBC_270709_700.png
55017;Wilsonia;pusilla;Wilson's Warbler;pusilla;Andrew Spencer;United States;South Bay Bog, Coos Co., New Hampshire;45.063;-71.248;song;WIWA2010-6-9-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/WIWA2010-6-9-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/WIWA2010-6-9-1.png
62708;Wilsonia;pusilla;Wilson's Warbler;;manuel Grosselet;Mexico;Oaxaca, El Yagul Ruins;16.9295;-96.3759;call;WilsonsWarblercall.mp3;http://www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/WilsonsWarblercall.mp3;http://www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/tb/WilsonsWarblercall.png
65843;Wilsonia;pusilla;Wilson's Warbler;chryseola;Ian Cruickshank;Canada;Rocky Point, Vancouver Island, BC;48.32;-123.546;Calls;WIWAcalls.mp3;http://www.xeno-canto.org/sounds/uploaded/XEIROMUDEB/WIWAcalls.mp3;http://www.xeno-canto.org/sounds/uploaded/XEIROMUDEB/ffts/tb/WIWAcalls.png
67051;Wilsonia;pusilla;Wilson's Warbler;;Daniel Lane;Mexico;Jilguero above Teotitlan del Valle, Oaxaca;17.0898;-96.5078;call;Wilsonia.pusilla090127_T1213.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/Wilsonia.pusilla090127_T1213.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/tb/Wilsonia.pusilla090127_T1213.png
76155;Wilsonia;pusilla;Wilson's Warbler;;Ken Allaire;Panama;Volcan Baru Summit Road;;;call;wilsonswarbbaru171210.mp3;http://www.xeno-canto.org/sounds/uploaded/AEWPPXBBYE/wilsonswarbbaru171210.mp3;http://www.xeno-canto.org/sounds/uploaded/AEWPPXBBYE/ffts/tb/wilsonswarbbaru171210.png
79521;Wilsonia;pusilla;Wilson's Warbler;pusilla;Andrew Spencer;United States;Square Lake Bog, Aroostook Co., Maine;47.1009;-68.3628;song;Wilsons Warbler2011-5-30-2.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Wilsons Warbler2011-5-30-2.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Wilsons Warbler2011-5-30-2.png
79522;Wilsonia;pusilla;Wilson's Warbler;pusilla;Andrew Spencer;United States;Square Lake Bog, Aroostook Co., Maine;47.1009;-68.3628;song;Wilsons Warbler2011-5-30-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Wilsons Warbler2011-5-30-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Wilsons Warbler2011-5-30-1.png
79605;Wilsonia;pusilla;Wilson's Warbler;;Andrew Spencer;United States;Moscovic Road, Aroostook Co., Maine;47.046;-68.17;song;Wilsons Warbler2011-5-29-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Wilsons Warbler2011-5-29-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Wilsons Warbler2011-5-29-1.png
90156;Wilsonia;pusilla;Wilson's Warbler;;Thomas G. Graves;United States;Coon Creek Trail, Montano de Oro State Park, California;35.253;-120.876;song;WilWarbMontdeOro032999.mp3;http://www.xeno-canto.org/sounds/uploaded/KGOCOOKTTU/WilWarbMontdeOro032999.mp3;http://www.xeno-canto.org/sounds/uploaded/KGOCOOKTTU/ffts/tb/WilWarbMontdeOro032999.png
96753;Wilsonia;pusilla;Wilson's Warbler;;manuel Grosselet;Mexico;Mexico, Chiapas El Triunfo;15.6;-92.744;call;Wilsons Warbler.mp3;http://www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/Wilsons Warbler.mp3;http://www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/tb/Wilsons Warbler.png
97950;Wilsonia;pusilla;Wilson's Warbler;;Daniel Lane;United States;Baton Rouge, East B. R. Parish, LA;30.4334;-91.1667;song;Wilsonia pusilla120330_T257.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/Wilsonia pusilla120330_T257.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/tb/Wilsonia pusilla120330_T257.png
